"freq
References : ['horn_gain_smooth','(horn_gain_120cm+horn_gain_240cm)*0.5']
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","horn_gain_smooth
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","(horn_gain_120cm+horn_gain_240cm)*0.5
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real"
130.10,21.09371,21.09698
130.15,21.09402,21.1034
130.20,21.09434,21.11127
130.25,21.09465,21.11932
130.30,21.09497,21.12404
130.35,21.09528,21.11773
130.40,21.09559,21.11058
130.45,21.09591,21.10989
130.50,21.09622,21.1162
130.55,21.09653,21.12651
130.60,21.09685,21.13498
130.65,21.09716,21.14312
130.70,21.09748,21.14632
130.75,21.09779,21.14251
130.80,21.09811,21.14144
130.85,21.09843,21.1379
130.90,21.09874,21.1364
130.95,21.09906,21.14029
131.00,21.09938,21.14444
131.05,21.0997,21.15152
131.10,21.10002,21.15672
131.15,21.10033,21.15918
131.20,21.10065,21.15722
131.25,21.10097,21.14467
131.30,21.10129,21.12961
131.35,21.10161,21.11958
131.40,21.10192,21.11689
131.45,21.10224,21.12094
131.50,21.10256,21.12695
131.55,21.10287,21.13248
131.60,21.10319,21.13074
131.65,21.10351,21.12067
131.70,21.10383,21.11041
131.75,21.10414,21.10266
131.80,21.10446,21.1017
131.85,21.10477,21.10698
131.90,21.10509,21.11364
131.95,21.1054,21.12025
132.00,21.10571,21.12023
132.05,21.10602,21.11017
132.10,21.10633,21.09338
132.15,21.10664,21.0721
132.20,21.10695,21.05416
132.25,21.10726,21.04535
132.30,21.10757,21.047
132.35,21.10788,21.05617
132.40,21.10819,21.06466
132.45,21.1085,21.06962
132.50,21.10881,21.06889
132.55,21.10912,21.05988
132.60,21.10942,21.05135
132.65,21.10973,21.04608
132.70,21.11004,21.043
132.75,21.11035,21.04607
132.80,21.11066,21.05165
132.85,21.11098,21.05881
132.90,21.11129,21.06694
132.95,21.1116,21.07038
133.00,21.11192,21.07122
133.05,21.11224,21.06922
133.10,21.11256,21.06556
133.15,21.11288,21.06547
133.20,21.1132,21.07287
133.25,21.11352,21.08351
133.30,21.11385,21.0915
133.35,21.11417,21.09362
133.40,21.1145,21.09115
133.45,21.11483,21.08499
133.50,21.11516,21.0772
133.55,21.11549,21.06953
133.60,21.11582,21.066
133.65,21.11616,21.06593
133.70,21.1165,21.0683
133.75,21.11684,21.07472
133.80,21.11718,21.08447
133.85,21.11752,21.09589
133.90,21.11786,21.10763
133.95,21.11821,21.11774
134.00,21.11856,21.11984
134.05,21.1189,21.11518
134.10,21.11925,21.11303
134.15,21.11961,21.11492
134.20,21.11996,21.11969
134.25,21.12031,21.12826
134.30,21.12067,21.13742
134.35,21.12103,21.1436
134.40,21.1214,21.14534
134.45,21.12176,21.14253
134.50,21.12213,21.14058
134.55,21.1225,21.13505
134.60,21.12287,21.12639
134.65,21.12325,21.12413
134.70,21.12363,21.12858
134.75,21.12401,21.13613
134.80,21.1244,21.14218
134.85,21.12478,21.1419
134.90,21.12518,21.13485
134.95,21.12557,21.12258
135.00,21.12596,21.11348
135.05,21.12659,21.11544
135.10,21.12704,21.12255
135.15,21.12741,21.13346
135.20,21.12783,21.14612
135.25,21.12825,21.15262
135.30,21.12868,21.15416
135.35,21.12908,21.14815
135.40,21.12949,21.14205
135.45,21.12989,21.14045
135.50,21.1303,21.13605
135.55,21.13072,21.13555
135.60,21.13114,21.14138
135.65,21.13157,21.14718
135.70,21.13201,21.15138
135.75,21.13244,21.14632
135.80,21.13288,21.13438
135.85,21.13332,21.11897
135.90,21.13376,21.10529
135.95,21.13421,21.10226
136.00,21.13465,21.1065
136.05,21.13509,21.1148
136.10,21.13554,21.12483
136.15,21.13598,21.13011
136.20,21.13643,21.13166
136.25,21.13688,21.12899
136.30,21.13733,21.12864
136.35,21.13778,21.13343
136.40,21.13823,21.13577
136.45,21.13869,21.14162
136.50,21.13915,21.15205
136.55,21.13961,21.16047
136.60,21.14007,21.16925
136.65,21.14053,21.17595
136.70,21.141,21.18201
136.75,21.14147,21.18591
136.80,21.14194,21.1852
136.85,21.14242,21.18623
136.90,21.1429,21.18937
136.95,21.14338,21.19105
137.00,21.14386,21.1929
137.05,21.14435,21.19554
137.10,21.14483,21.20214
137.15,21.14533,21.2095
137.20,21.14582,21.21567
137.25,21.14632,21.22076
137.30,21.14682,21.21855
137.35,21.14732,21.21449
137.40,21.14783,21.21171
137.45,21.14834,21.20964
137.50,21.14885,21.21125
137.55,21.14937,21.21059
137.60,21.14988,21.20993
137.65,21.1504,21.20877
137.70,21.15093,21.20461
137.75,21.15146,21.20367
137.80,21.15198,21.20179
137.85,21.15252,21.19887
137.90,21.15305,21.19607
137.95,21.15359,21.19031
138.00,21.15412,21.18708
138.05,21.15466,21.18414
138.10,21.1552,21.18182
138.15,21.15575,21.17919
138.20,21.15629,21.17061
138.25,21.15684,21.15989
138.30,21.15738,21.15134
138.35,21.15793,21.14831
138.40,21.15848,21.15355
138.45,21.15903,21.15952
138.50,21.15958,21.16501
138.55,21.16013,21.1691
138.60,21.16068,21.17009
138.65,21.16123,21.16934
138.70,21.16178,21.16697
