Freq(Hz),S12(DB)
1.611E+11,-13.238969
1.612E+11,-13.270003
1.613E+11,-13.301733
1.614E+11,-13.286014
1.615E+11,-13.284078
1.616E+11,-13.219518
1.617E+11,-13.239234
1.618E+11,-13.349091
1.619E+11,-13.232415
1.62E+11,-13.253697
1.621E+11,-13.303795
1.622E+11,-13.300079
1.623E+11,-13.303169
1.624E+11,-13.260504
1.625E+11,-13.31266
1.626E+11,-13.312235
1.627E+11,-13.366123
1.628E+11,-13.415379
1.629E+11,-13.35793
1.63E+11,-13.314968
1.631E+11,-13.277201
1.632E+11,-13.3458
1.633E+11,-13.37586
1.634E+11,-13.268101
1.635E+11,-13.287414
1.636E+11,-13.218999
1.637E+11,-13.335648
1.638E+11,-13.32435
1.639E+11,-13.335823
1.64E+11,-13.317339
1.641E+11,-13.309452
1.642E+11,-13.383164
1.643E+11,-13.274397
1.644E+11,-13.206019
1.645E+11,-13.252075
1.646E+11,-13.372992
1.647E+11,-13.345426
1.648E+11,-13.367043
1.649E+11,-13.327722
1.65E+11,-13.346897
1.651E+11,-13.268843
1.652E+11,-13.420403
1.653E+11,-13.419636
1.654E+11,-13.416974
1.655E+11,-13.341128
1.656E+11,-13.368989
1.657E+11,-13.359674
1.658E+11,-13.302765
1.659E+11,-13.280215
1.66E+11,-13.391142
1.661E+11,-13.371152
1.662E+11,-13.406457
1.663E+11,-13.305062
1.664E+11,-13.400327
1.665E+11,-13.32997
1.666E+11,-13.382141
1.667E+11,-13.373029
1.668E+11,-13.474992
1.669E+11,-13.351497
1.67E+11,-13.49718
1.671E+11,-13.528391
1.672E+11,-13.525739
1.673E+11,-13.381848
1.674E+11,-13.425653
1.675E+11,-13.44951
1.676E+11,-13.490707
1.677E+11,-13.496301
1.678E+11,-13.47298
1.679E+11,-13.504279
1.68E+11,-13.563163
1.681E+11,-13.520446
1.682E+11,-13.550783
1.683E+11,-13.562947
1.684E+11,-13.555999
1.685E+11,-13.575204
1.686E+11,-13.561831
1.687E+11,-13.533978
1.688E+11,-13.588436
1.689E+11,-13.539778
1.69E+11,-13.529613
1.691E+11,-13.477846
1.692E+11,-13.564463
1.693E+11,-13.491996
1.694E+11,-13.648717
1.695E+11,-13.687304
1.696E+11,-13.721453
1.697E+11,-13.591207
1.698E+11,-13.623753
1.699E+11,-13.613366
1.7E+11,-13.842999
