freq,S12
1.69E+11,-25.672001
1.691E+11,-25.722031
1.692E+11,-25.755646
1.693E+11,-25.725193
1.694E+11,-25.726107
1.695E+11,-25.78738
1.696E+11,-25.774496
1.697E+11,-25.705591
1.698E+11,-25.749395
1.699E+11,-25.780672
1.7E+11,-25.896254
