I_DAC_diff (A)_X,I_DAC_diff (A)_Y
5.249999999999992e-10,-0.006486136105986176
5.250125000208334e-10,-0.006485523074903719
5.250375000625017e-10,-0.006485216565074056
5.250875001458383e-10,-0.006484785880162909
5.251875003125115e-10,-0.006483683902845799
5.253875006458579e-10,-0.006481813947814716
5.256677657556071e-10,-0.006479389659109361
5.260959942606039e-10,-0.006476544725005797
5.268775321616808e-10,-0.006475107578237927
5.272106242998231e-10,-0.006475706738789996
5.274427694863949e-10,-0.006476775765408681
5.2759659379734e-10,-0.006480509106359337
5.277116239856776e-10,-0.006485248638175381
5.277873529010185e-10,-0.006487655034335392
5.27858585289122e-10,-0.006489974204113532
5.279329710521173e-10,-0.006491993125062178
5.280604533723089e-10,-0.006495466889575642
